Animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,animal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,animal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,animal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,animal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,arthropods
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,arthropods
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,arthropods
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,animal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,frog
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,frog
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,animal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,animal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,animal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,animal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,animal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,animal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insect
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,arthropods
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,animal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,animal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,frog
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,arthropods
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,animal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,animal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,animal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,animal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,animal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,animal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,animal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,arthropods
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,animal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,animal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,arthropods
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,arthropods
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,animal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,arthropods
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,frog
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,animal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,animal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,animal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,animal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,arthropods
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
