Commodity Name,City Name,Package,Variety,Date,LowPrice,HighPrice,Mostly Low,Mostly High,Origin,ItemSize
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,130,150,130,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,130,150,130,150,NEW JERSEY,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,120,140,120,140,NEW YORK,med-lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,150,170,150,170,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,120,170,120,170,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/24/2016,180,190,180,190,PENNSYLVANIA,med
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,140,140,140,140,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,140,140,140,140,NEW YORK,med-lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,150,170,150,170,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/01/2016,160,170,160,170,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,160,180,160,180,MICHIGAN,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,175,175,175,175,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,140,150,140,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,160,160,160,160,NEW YORK,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/08/2016,120,140,120,140,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/15/2016,120,130,120,130,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/15/2016,160,160,160,160,NEW YORK,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/22/2016,120,130,120,130,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/22/2016,160,160,160,160,NEW YORK,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/29/2016,120,130,120,130,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,10/29/2016,130,130,130,130,OHIO,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,11/05/2016,100,150,100,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/16/2017,140,150,140,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/16/2017,140,160,140,160,NEW JERSEY,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/16/2017,150,150,150,150,NEW YORK,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/16/2017,160,180,160,180,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/16/2017,160,180,160,180,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/23/2017,140,150,145,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/23/2017,150,150,150,150,NEW YORK,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/23/2017,160,180,160,180,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/23/2017,160,180,160,180,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/30/2017,130,150,130,150,NEW JERSEY,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/30/2017,150,150,150,150,NEW YORK,lge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/30/2017,140,180,140,180,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,36 inch bins,HOWDEN TYPE,09/30/2017,140,180,140,180,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,09/24/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,10/01/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,10/08/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,10/15/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,10/22/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,10/29/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,1 1/9 bushel cartons,PIE TYPE,11/05/2016,16,18,16,18,OHIO,med
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/24/2016,130,150,130,150,NEW JERSEY,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/01/2016,130,140,140,140,NEW JERSEY,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/08/2016,120,140,120,140,NEW JERSEY,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/08/2016,180,200,180,200,NEW JERSEY,med
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/08/2016,180,200,180,200,OHIO,med
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/15/2016,120,130,120,130,NEW JERSEY,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/15/2016,130,130,130,130,PENNSYLVANIA,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/22/2016,120,130,120,130,NEW JERSEY,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/22/2016,130,130,130,130,PENNSYLVANIA,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/29/2016,120,130,120,130,NEW JERSEY,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,10/29/2016,130,130,130,130,PENNSYLVANIA,med-lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/09/2017,250,250,250,250,PENNSYLVANIA,
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/16/2017,135,140,135,140,NEW JERSEY,
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/16/2017,180,200,180,200,NEW JERSEY,
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/16/2017,120,150,120,150,NEW JERSEY,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/16/2017,140,140,140,140,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/23/2017,120,140,120,140,NEW JERSEY,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/23/2017,140,140,140,140,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/30/2017,120,140,120,140,NEW JERSEY,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/30/2017,150,150,150,150,NEW YORK,lge
PUMPKINS,NEW YORK,24 inch bins,PIE TYPE,09/30/2017,140,140,140,140,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,09/24/2016,200,225,200,225,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/01/2016,200,225,200,225,MICHIGAN,lge
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/01/2016,260,300,260,300,PENNSYLVANIA,med
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/08/2016,260,260,260,260,NEW YORK,med
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/08/2016,220,220,220,220,OHIO,sml
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/15/2016,260,260,260,260,NEW YORK,med
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,10/22/2016,260,260,260,260,NEW YORK,med
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,09/16/2017,200,200,200,200,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,09/23/2017,200,200,200,200,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,36 inch bins,PIE TYPE,09/30/2017,200,265,200,265,PENNSYLVANIA,lge
PUMPKINS,NEW YORK,bushel cartons,PIE TYPE,09/09/2017,18,20,18,20,OHIO,
PUMPKINS,NEW YORK,bushel cartons,PIE TYPE,09/16/2017,18,20,18,18,OHIO,
PUMPKINS,NEW YORK,bushel cartons,PIE TYPE,09/23/2017,18,20,18,18,OHIO,
PUMPKINS,NEW YORK,bushel cartons,PIE TYPE,09/30/2017,18,20,18,18,OHIO,
PUMPKINS,NEW YORK,36 inch bins,KNUCKLE HEAD,10/08/2016,120,140,120,140,PENNSYLVANIA,xlge
PUMPKINS,NEW YORK,each,BIG MACK TYPE,09/24/2016,75,80,75,80,NEW JERSEY,exjbo
PUMPKINS,NEW YORK,each,BIG MACK TYPE,10/01/2016,75,80,75,80,NEW JERSEY,exjbo
PUMPKINS,NEW YORK,24 inch bins,MIXED HEIRLOOM VARIETIES,10/08/2016,200,200,200,200,MICHIGAN,
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/24/2016,15,18,15,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/24/2016,20,20,20,20,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/01/2016,15,18,15,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/01/2016,20,20,20,20,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/08/2016,18,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/08/2016,20,20,20,20,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/15/2016,15,18,15,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/15/2016,18,20,18,20,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/22/2016,18,20,18,20,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/22/2016,15,18,15,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/29/2016,15,16,15,16,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,10/29/2016,18,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,11/05/2016,15,16,15,16,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,11/05/2016,18,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/08/2016,18,18,18,18,NEW YORK,med
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/08/2016,18,18,18,18,NEW YORK,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/09/2017,24,24,24,24,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/09/2017,18,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/16/2017,16,20,18,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/16/2017,24,24,24,24,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/23/2017,16,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,1/2 bushel cartons,MINIATURE,09/30/2017,16,18,18,18,OHIO,sml
PUMPKINS,NEW YORK,bushel cartons,MINIATURE,09/09/2017,32,32,32,32,OHIO,sml
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/08/2016,18,18,18,18,NEW YORK,med
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/08/2016,18,18,18,18,NEW YORK,sml
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/15/2016,18,18,18,18,NEW YORK,med
PUMPKINS,NEW YORK,1 1/9 bushel crates,MINIATURE,10/15/2016,18,18,18,18,NEW YORK,sml
